,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Seoul,KR,76.39,heavy intensity rain,37.5683,126.9778,롯데호텔 서울
13,Neiafu,TO,76.32,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
14,Samarai,PG,79.75,overcast clouds,-10.6167,150.6667,Nuli Sapi
18,Saiki,JP,78.75,scattered clouds,32.95,131.9,（株）サンテツ
22,Laguna,US,79.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
26,Bima,ID,75.31,overcast clouds,-8.4667,118.7167,Lambitu Hotel
33,Rikitea,PF,75.22,broken clouds,-23.1203,-134.9692,People ThankYou
36,West Bay,KY,79.0,few clouds,19.3667,-81.4167,Calypso Cove
48,Yeovil,GB,75.43,clear sky,50.9416,-2.6321,The Yeovil Court Hotel
51,Atuona,PF,77.5,clear sky,-9.8,-139.0333,Villa Enata
61,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
64,Marsh Harbour,BS,76.41,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
93,Soyo,AO,77.49,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
95,East London,ZA,75.78,overcast clouds,-33.0153,27.9116,Tu Casa
112,Mazagao,BR,78.85,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
113,Honolulu,US,75.47,light rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
117,Karaton,ID,75.99,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
122,Palu,ID,76.84,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
141,Sinnamary,GF,76.35,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
143,Praya,CV,78.51,few clouds,14.9215,-23.5087,LT Aparthotel
149,Kinchil,MX,76.05,overcast clouds,20.9167,-89.95,Club de nutricion herbalife kinchil
151,Bengkulu,ID,78.84,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
155,Gotsu,JP,79.74,moderate rain,35.0,132.2167,Yurusato
158,Barabai,ID,76.12,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
159,Kharp,RU,76.24,light rain,66.8014,65.8081,"Hotel ""Sob"""
162,Hope,US,77.07,scattered clouds,33.6671,-93.5916,Best Western Hope
184,Dothan,US,79.0,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
190,Marienburg,PL,77.88,few clouds,54.0359,19.0266,Hotel Centrum Malbork
191,Natal,BR,75.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
200,Kirakira,SB,79.34,scattered clouds,-10.4544,161.9205,SanBiz Lodge
212,Touros,BR,79.92,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
215,Fukue,JP,76.51,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
218,Darhan,MN,78.66,few clouds,49.4867,105.9228,Buudai Hotel
230,Nikolskoye,RU,75.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
232,Petukhovo,RU,75.61,scattered clouds,55.0692,67.9019,Гостиница
240,Ahuimanu,US,75.36,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
250,Alofi,NU,75.24,overcast clouds,-19.0595,-169.9187,Taloa Heights
255,Luwuk,ID,78.39,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
258,Namatanai,PG,79.99,light rain,-3.6667,152.4333,Seagulls Inn Namatani
263,Santarem,BR,75.33,few clouds,-2.4431,-54.7083,Hotel Imperador
266,Itoigawa,JP,75.7,broken clouds,37.0333,137.85,Hotel Route Inn Itoigawa
280,Luganville,VU,76.08,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
283,Corn Island,NI,77.23,overcast clouds,12.1694,-83.0418,Big Fish Guest House
291,Itarema,BR,76.24,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
296,Banda Aceh,ID,77.61,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
300,Nador,MA,75.45,few clouds,35.174,-2.9287,Hôtel La Giralda
303,Saint-Nazaire,FR,76.33,scattered clouds,47.2833,-2.2,HOTEL LE BERRY
309,Strelka,RU,75.31,broken clouds,58.0728,93.0344,"Gostinitsa ""Angara"""
313,San-Pedro,CI,77.0,light rain,4.7485,-6.6363,Hotel Maria
315,Sola,VU,79.9,overcast clouds,-13.8833,167.55,Leumerus Bungalows
317,Bubaque,GW,78.46,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
325,Coahuayana,MX,76.66,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
337,Harper,LR,79.03,moderate rain,4.375,-7.7169,Screensaver
345,Nagato,JP,79.74,light rain,34.3833,131.2,いそう庵
354,Dyersburg,US,75.34,clear sky,36.0345,-89.3856,Hampton Inn Dyersburg
355,Lasa,IT,77.36,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
356,Morant Bay,JM,75.7,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
377,Myitkyina,MM,75.94,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
378,Fort Wellington,GY,77.07,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
380,Hereford,GB,78.75,clear sky,52.0568,-2.7148,The Green Dragon Hotel
384,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
390,Daru,PG,77.86,broken clouds,-9.0763,143.2092,Daru Lodge
398,Lamar,US,78.71,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
420,Chiredzi,ZW,77.77,few clouds,-21.05,31.6667,Clevers Hotel Chiredzi
424,Muroto,JP,77.83,few clouds,33.2833,134.15,Oota Ryokan
430,Mkushi,ZM,75.36,clear sky,-13.6202,29.3939,Mkushi Police Club
434,Kiunga,PG,75.76,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
435,Faanui,PF,79.77,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
449,Sao Gabriel Da Cachoeira,BR,76.8,clear sky,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
457,Srandakan,ID,78.75,broken clouds,-7.9386,110.2506,Puri Brata
463,Prien,US,79.02,clear sky,30.1819,-93.2738,L'Auberge Casino Resort Lake Charles
469,Sao Filipe,CV,77.83,few clouds,14.8961,-24.4956,Hotel Xaguate
470,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
483,Sambava,MG,77.2,few clouds,-14.2667,50.1667,Melrose
492,Mount Pleasant,US,78.8,clear sky,32.7941,-79.8626,Best Western Patriots Point
496,Naze,JP,77.92,clear sky,28.3667,129.4833,Shishime Hotel
499,Kieta,PG,79.09,light rain,-6.2167,155.6333,Uruna Bay Retreat
510,Le Port,RE,78.76,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
517,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
519,Lazaro Cardenas,MX,75.88,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
520,Mandalgovi,MN,77.4,clear sky,45.7625,106.2708,В.Ганбат
521,Porto Novo,BJ,78.62,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
525,Kaseda,JP,76.75,few clouds,31.4167,130.3167,Sun Stay Kaseda
529,Sainte-Marie,RE,78.93,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
535,Richards Bay,ZA,76.96,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
538,Aykhal,RU,75.85,broken clouds,66.0,111.5,
547,Piacabucu,BR,75.36,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
562,Kendari,ID,75.51,overcast clouds,-3.945,122.4989,Hotel Wixel
568,Vila Do Maio,CV,79.59,scattered clouds,15.1333,-23.2167,Hotel Marilu
580,Dicabisagan,PH,78.89,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
584,Manaure,CO,79.93,broken clouds,11.7751,-72.4445,Hotel Palaaima
591,Chahuites,MX,75.09,overcast clouds,16.2833,-94.1833,Ballado
600,Ahero,KE,79.39,light rain,-0.1746,34.9163,Jesmic Hotel
604,Udachnyy,RU,79.45,broken clouds,66.4167,112.4,Severnoye Siyaniye
606,Wang Saphung,TH,78.82,heavy intensity rain,17.301,101.7685,โรงแรมวังรีสอร์ท
611,Quepos,CR,75.16,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
616,Tobol,KZ,79.86,broken clouds,52.6844,62.5794,Tobol Gostinitsa
617,Senov,CZ,79.83,few clouds,49.7932,18.3761,Hotel Rudolf
618,Sampit,ID,75.49,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
621,Vitim,RU,76.39,broken clouds,59.4511,112.5578,Gostinitsa V Apteke
622,Conceicao Do Araguaia,BR,78.21,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
