,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,94,0,2.3,clear sky
1,College,US,64.8569,-147.8028,60.78,60,75,4.61,smoke
2,Seoul,KR,37.5683,126.9778,76.39,94,100,14.97,heavy intensity rain
3,Kahului,US,20.8947,-156.47,74.84,80,40,9.22,scattered clouds
4,Kruisfontein,ZA,-34.0033,24.7314,57.88,52,100,7.67,overcast clouds
5,Yellowknife,CA,62.456,-114.3525,51.57,66,3,4.0,clear sky
6,Busselton,AU,-33.65,115.3333,55.15,83,50,8.48,scattered clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,40.24,73,100,8.81,overcast clouds
8,Santander,ES,43.4647,-3.8044,68.61,87,75,17.27,broken clouds
9,Port Alfred,ZA,-33.5906,26.891,71.19,59,100,7.0,overcast clouds
10,Kenai,US,60.5544,-151.2583,55.15,85,0,3.44,clear sky
11,Punta Arenas,CL,-53.15,-70.9167,39.11,80,100,17.78,overcast clouds
12,Pochutla,MX,15.7432,-96.4661,71.82,91,100,3.53,overcast clouds
13,Neiafu,TO,-18.65,-173.9833,76.32,67,99,15.93,overcast clouds
14,Samarai,PG,-10.6167,150.6667,79.75,82,100,16.06,overcast clouds
15,Iqaluit,CA,63.7506,-68.5145,38.7,69,100,3.02,overcast clouds
16,Gat,IL,31.61,34.7642,93.4,38,0,14.05,clear sky
17,Vaini,TO,-21.2,-175.2,68.16,73,40,4.61,scattered clouds
18,Saiki,JP,32.95,131.9,78.75,85,32,6.87,scattered clouds
19,Severo-Kurilsk,RU,50.6789,156.125,45.99,95,73,15.41,broken clouds
20,Ushuaia,AR,-54.8,-68.3,33.57,98,99,3.83,light snow
21,Port Lincoln,AU,-34.7333,135.8667,59.5,83,75,16.24,broken clouds
22,Laguna,US,38.421,-121.4238,79.02,43,0,9.22,clear sky
23,Mataura,NZ,-46.1927,168.8643,32.49,83,0,3.53,clear sky
24,Hermanus,ZA,-34.4187,19.2345,56.8,86,78,14.74,moderate rain
25,Bredasdorp,ZA,-34.5322,20.0403,62.6,65,86,12.08,overcast clouds
26,Bima,ID,-8.4667,118.7167,75.31,82,94,5.46,overcast clouds
27,Limbach-Oberfrohna,DE,50.8667,12.75,85.44,36,6,7.56,clear sky
28,Qaanaaq,GL,77.484,-69.3632,38.84,66,72,6.87,broken clouds
29,Sertanopolis,BR,-23.0586,-51.0364,66.27,76,0,1.97,clear sky
30,Bluff,NZ,-46.6,168.3333,32.81,80,1,10.85,clear sky
31,Georgetown,MY,5.4112,100.3354,84.88,77,20,5.75,moderate rain
32,Jamestown,US,42.097,-79.2353,60.44,84,0,8.05,clear sky
33,Rikitea,PF,-23.1203,-134.9692,75.22,66,79,16.02,broken clouds
34,Hobart,AU,-42.8794,147.3294,51.26,94,75,5.75,light rain
35,Lavrentiya,RU,65.5833,-171.0,44.44,90,100,11.48,overcast clouds
36,West Bay,KY,19.3667,-81.4167,79.0,84,16,1.99,few clouds
37,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,47,3.0,scattered clouds
38,Axim,GH,4.8699,-2.2405,80.06,77,91,7.47,light rain
39,Mitu,CO,1.1983,-70.1733,68.9,99,89,1.25,overcast clouds
40,Yarmouth,US,41.7057,-70.2286,64.96,94,0,5.75,clear sky
41,Kudahuvadhoo,MV,2.6708,72.8944,82.72,72,27,6.08,light rain
42,Sosnovo-Ozerskoye,RU,52.5249,111.5418,67.19,36,14,14.27,few clouds
43,Shimanovsk,RU,52.0,127.7,66.76,91,76,3.98,moderate rain
44,Saint-Philippe,RE,-21.3585,55.7679,71.19,71,75,14.47,broken clouds
45,Belyy Yar,RU,53.6039,91.3903,93.09,32,0,20.13,clear sky
46,Chokurdakh,RU,70.6333,147.9167,40.57,48,79,18.99,broken clouds
47,Beatrice,US,40.2681,-96.747,70.45,88,0,6.82,clear sky
48,Yeovil,GB,50.9416,-2.6321,75.43,50,0,6.91,clear sky
49,Mae Hong Son,TH,19.3003,97.9685,80.44,83,99,3.2,overcast clouds
50,Longyearbyen,SJ,78.2186,15.6401,40.84,60,75,24.16,broken clouds
51,Atuona,PF,-9.8,-139.0333,77.5,72,4,15.59,clear sky
52,Hilo,US,19.7297,-155.09,72.28,95,100,4.61,overcast clouds
53,Raga,SS,8.4596,25.678,97.66,31,12,3.65,few clouds
54,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,85,65,10.87,light rain
55,Riyadh,SA,24.6877,46.7219,112.06,5,79,14.65,broken clouds
56,Radford,US,37.1318,-80.5764,70.72,89,100,6.91,overcast clouds
57,Port Elizabeth,ZA,-33.918,25.5701,60.31,92,100,4.0,overcast clouds
58,Aras,ES,42.5617,-2.356,73.81,38,40,4.61,scattered clouds
59,Albany,US,42.6001,-73.9662,60.17,85,99,3.0,overcast clouds
60,Cockburn Town,TC,21.4612,-71.1419,81.19,71,76,11.68,broken clouds
61,Avarua,CK,-21.2078,-159.775,77.05,69,75,9.22,broken clouds
62,Anchorage,US,61.2181,-149.9003,61.92,69,75,5.75,broken clouds
63,Arona,ES,28.0996,-16.681,66.72,61,75,13.8,broken clouds
64,Marsh Harbour,BS,26.5412,-77.0636,76.41,60,100,3.98,overcast clouds
65,Dikson,RU,73.5069,80.5464,42.85,77,100,21.0,overcast clouds
