City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,2022-06-21 03:45:09,-17.7125,-39.2481,70.3,89,6,5.01
1,Beloha,MG,2022-06-21 03:45:10,-25.1667,45.05,65.48,61,57,8.95
2,Katsuura,JP,2022-06-21 03:45:10,35.1333,140.3,75.47,85,100,4.09
3,Axim,GH,2022-06-21 03:45:10,4.8699,-2.2405,75.18,91,74,5.68
4,Hermanus,ZA,2022-06-21 03:45:11,-34.4187,19.2345,51.8,82,75,7.63
5,Kodiak,US,2022-06-21 03:45:11,57.79,-152.4072,56.71,67,20,6.91
6,Arraial Do Cabo,BR,2022-06-21 03:45:11,-22.9661,-42.0278,69.76,88,40,9.22
7,Avarua,CK,2022-06-21 03:45:12,-21.2078,-159.775,80.65,83,74,9.22
8,Butaritari,KI,2022-06-21 03:45:12,3.0707,172.7902,82.81,70,27,12.77
9,Raudeberg,NO,2022-06-21 03:45:12,61.9875,5.1352,51.87,91,100,19.17
10,Hobart,AU,2022-06-21 03:40:17,-42.8794,147.3294,58.26,70,100,1.99
11,Saint George,US,2022-06-21 03:44:00,37.1041,-113.5841,86.59,4,0,3.44
12,Lebu,CL,2022-06-21 03:45:13,-37.6167,-73.65,47.98,89,100,8.37
13,Namibe,AO,2022-06-21 03:44:42,-15.1961,12.1522,58.14,73,0,3.44
14,Jamestown,US,2022-06-21 03:44:42,42.097,-79.2353,63.99,77,100,6.91
15,Cabo San Lucas,MX,2022-06-21 03:45:13,22.8909,-109.9124,81.7,76,95,5.99
16,Nenjiang,CN,2022-06-21 03:45:14,49.1833,125.2167,67.24,63,86,16.53
17,Nikolskoye,RU,2022-06-21 03:45:14,59.7035,30.7861,55.87,92,95,3.58
18,Umm Kaddadah,SD,2022-06-21 03:45:15,13.6017,26.6876,81.09,51,48,8.84
19,Ushuaia,AR,2022-06-21 03:41:31,-54.8,-68.3,33.46,86,75,23.02
20,Albany,US,2022-06-21 03:42:27,42.6001,-73.9662,61.21,70,99,4.45
21,Port Elizabeth,ZA,2022-06-21 03:45:15,-33.918,25.5701,56.32,95,0,7.0
22,Ribeira Grande,PT,2022-06-21 03:45:15,38.5167,-28.7,64.89,89,97,22.12
23,Zhangjiakou,CN,2022-06-21 03:45:16,40.81,114.8794,84.85,37,100,1.83
24,Beringovskiy,RU,2022-06-21 03:45:16,63.05,179.3167,47.43,82,71,16.55
25,Honningsvag,NO,2022-06-21 03:45:16,70.9821,25.9704,53.35,62,100,11.5
26,Birao,CF,2022-06-21 03:45:17,10.2849,22.7882,73.35,81,53,3.87
27,Lasa,IT,2022-06-21 03:45:17,46.6166,10.7002,61.68,82,19,3.29
28,Pemangkat,ID,2022-06-21 03:45:17,1.1667,108.9667,81.97,75,88,3.58
29,Chokurdakh,RU,2022-06-21 03:45:18,70.6333,147.9167,49.64,30,95,9.44
30,Russell,US,2022-06-21 03:45:18,32.3502,-85.1999,82.0,48,92,3.87
31,Balykshi,KZ,2022-06-21 03:45:18,47.0667,51.8667,80.6,34,0,15.66
32,Fortuna,US,2022-06-21 03:45:19,40.5982,-124.1573,59.34,78,2,3.0
33,Dillon,US,2022-06-21 03:45:19,34.4166,-79.3712,72.25,51,100,5.21
34,Severnyy,RU,2022-06-21 03:45:19,50.677,36.5532,68.04,56,0,6.71
35,Santa Maria,BR,2022-06-21 03:45:20,-29.6842,-53.8069,52.9,100,20,3.44
36,Atuona,PF,2022-06-21 03:41:48,-9.8,-139.0333,77.99,79,19,22.41
37,Richards Bay,ZA,2022-06-21 03:41:39,-28.783,32.0377,64.92,71,100,2.24
38,Bengkulu,ID,2022-06-21 03:45:20,-3.8004,102.2655,83.44,69,53,3.22
39,Suntar,RU,2022-06-21 03:45:20,62.1444,117.6319,64.33,37,99,9.64
40,Dikson,RU,2022-06-21 03:45:21,73.5069,80.5464,34.97,97,92,7.0
41,Mar Del Plata,AR,2022-06-21 03:42:25,-38.0023,-57.5575,47.08,81,0,1.99
42,New Norfolk,AU,2022-06-21 03:45:21,-42.7826,147.0587,57.92,73,100,3.0
43,Arvika,SE,2022-06-21 03:45:22,59.6553,12.5852,48.81,69,68,2.51
44,Thompson,CA,2022-06-21 03:45:22,55.7435,-97.8558,57.36,82,75,6.91
45,Lagoa,PT,2022-06-21 03:45:22,39.05,-27.9833,63.59,85,78,19.6
46,Bluff,NZ,2022-06-21 03:45:23,-46.6,168.3333,43.81,78,0,4.7
47,Puerto Ayora,EC,2022-06-21 03:46:23,-0.7393,-90.3518,69.55,99,64,3.0
48,Hibbing,US,2022-06-21 03:46:23,47.4272,-92.9377,82.56,83,100,13.8
49,Siguiri,GN,2022-06-21 03:46:24,11.6667,-9.5,72.84,90,50,3.02
50,Khani,GE,2022-06-21 03:46:24,41.9563,42.9566,62.17,67,2,2.3
51,Dingle,PH,2022-06-21 03:46:24,10.9995,122.6711,80.62,86,100,5.26
52,Baykit,RU,2022-06-21 03:46:25,61.67,96.37,73.04,30,7,6.33
53,Punta Arenas,CL,2022-06-21 03:46:25,-53.15,-70.9167,30.31,80,20,8.05
54,Jalu,LY,2022-06-21 03:46:25,29.0331,21.5482,77.77,34,0,8.01
